"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 01 15:03:07 EEST 2021","Wed Sep 01 15:03:07 EEST 2021","31","","Ebay Product Search","","Ebay Product Search","Should search for the product and Verify text value","Should search for the product and Verify text value",""
"skipped","Wed Sep 01 14:18:51 EEST 2021","Wed Sep 01 14:18:51 EEST 2021","61","","Watches page","","Watches page","should verify the watch category list","should verify the watch category list",""
"passed","Wed Sep 01 15:03:18 EEST 2021","Wed Sep 01 15:03:18 EEST 2021","24","","Ebay Product Search","","Ebay Product Search","should update the search category","should update the search category",""
"passed","Wed Sep 01 14:18:44 EEST 2021","Wed Sep 01 14:18:44 EEST 2021","84","","Watches page","","Watches page","should show the banner conatiner","should show the banner conatiner",""
"passed","Wed Sep 01 14:18:42 EEST 2021","Wed Sep 01 14:18:42 EEST 2021","47","","Watches page","","Watches page","should conatin link on banner button and verify its clickable","should conatin link on banner button and verify its clickable",""
"passed","Wed Sep 01 15:03:09 EEST 2021","Wed Sep 01 15:03:09 EEST 2021","102","","Ebay Product Search","","Ebay Product Search","Should open the main URL and Verify the title","Should open the main URL and Verify the title",""
"passed","Wed Sep 01 14:18:51 EEST 2021","Wed Sep 01 14:18:51 EEST 2021","123","","Watches page","","Watches page","should show the banner title","should show the banner title",""
"passed","Wed Sep 01 15:03:18 EEST 2021","Wed Sep 01 15:03:18 EEST 2021","56","","Ebay Product Search","","Ebay Product Search","Should search for the product and Verify text value","Should search for the product and Verify text value",""
"skipped","Wed Sep 01 14:18:44 EEST 2021","Wed Sep 01 14:18:44 EEST 2021","119","","Watches page","","Watches page","should verify the watch category list","should verify the watch category list",""
"skipped","Wed Sep 01 14:18:42 EEST 2021","Wed Sep 01 14:18:42 EEST 2021","51","","Watches page","","Watches page","should verify the watch category list","should verify the watch category list",""
"passed","Wed Sep 01 15:03:18 EEST 2021","Wed Sep 01 15:03:18 EEST 2021","25","","Ebay Product Search","","Ebay Product Search","Should open the main URL and Verify the title","Should open the main URL and Verify the title",""
"passed","Wed Sep 01 14:18:42 EEST 2021","Wed Sep 01 14:18:42 EEST 2021","17","","Watches page","","Watches page","should show the banner title","should show the banner title",""
"passed","Wed Sep 01 14:18:44 EEST 2021","Wed Sep 01 14:18:44 EEST 2021","32","","Watches page","","Watches page","should show the banner title","should show the banner title",""
"passed","Wed Sep 01 15:03:18 EEST 2021","Wed Sep 01 15:03:18 EEST 2021","14","","Ebay Product Search","","Ebay Product Search","Should redirect to a new page and verify the title","Should redirect to a new page and verify the title",""
"passed","Wed Sep 01 15:03:08 EEST 2021","Wed Sep 01 15:03:08 EEST 2021","17","","Ebay Product Search","","Ebay Product Search","should update the search category","should update the search category",""
"passed","Wed Sep 01 14:18:51 EEST 2021","Wed Sep 01 14:18:51 EEST 2021","31","","Watches page","","Watches page","should show the banner conatiner","should show the banner conatiner",""
"passed","Wed Sep 01 15:03:07 EEST 2021","Wed Sep 01 15:03:07 EEST 2021","6","","Ebay Product Search","","Ebay Product Search","Should redirect to a new page and verify the title","Should redirect to a new page and verify the title",""
"passed","Wed Sep 01 15:03:09 EEST 2021","Wed Sep 01 15:03:09 EEST 2021","27","","Ebay Product Search","","Ebay Product Search","Should search for the product and Verify text value","Should search for the product and Verify text value",""
"passed","Wed Sep 01 14:18:44 EEST 2021","Wed Sep 01 14:18:44 EEST 2021","35","","Watches page","","Watches page","should conatin link on banner button and verify its clickable","should conatin link on banner button and verify its clickable",""
"passed","Wed Sep 01 14:18:42 EEST 2021","Wed Sep 01 14:18:42 EEST 2021","36","","Watches page","","Watches page","should show the banner conatiner","should show the banner conatiner",""
"passed","Wed Sep 01 15:03:09 EEST 2021","Wed Sep 01 15:03:09 EEST 2021","17","","Ebay Product Search","","Ebay Product Search","Should redirect to a new page and verify the title","Should redirect to a new page and verify the title",""
"passed","Wed Sep 01 15:03:07 EEST 2021","Wed Sep 01 15:03:07 EEST 2021","25","","Ebay Product Search","","Ebay Product Search","Should open the main URL and Verify the title","Should open the main URL and Verify the title",""
"passed","Wed Sep 01 15:03:09 EEST 2021","Wed Sep 01 15:03:10 EEST 2021","16","","Ebay Product Search","","Ebay Product Search","should update the search category","should update the search category",""
"passed","Wed Sep 01 14:18:51 EEST 2021","Wed Sep 01 14:18:51 EEST 2021","28","","Watches page","","Watches page","should conatin link on banner button and verify its clickable","should conatin link on banner button and verify its clickable",""
